Title,Author,AverageRating,RatingsCount,Score
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,"24,50,864","84,020"
The Bell Jar,Sylvia Plath,4.05,"12,38,927","49,948"
Jane Eyre,Charlotte Brontë,4.16,"23,40,543","45,133"
A Room of One’s Own,Virginia Woolf,4.22,"2,64,643","43,909"
The Second Sex,Simone de Beauvoir,4.18,"47,693","38,713"
Pride and Prejudice,Jane Austen,4.3,"48,46,007","34,775"
The Color Purple,Alice Walker,4.28,"7,56,567","32,778"
The Yellow Wall-Paper,Charlotte Perkins Gilman,4.07,"3,64,295","28,813"
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.39,"3,32,744","23,359"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.3,"5,84,874","22,434"
The Feminine Mystique,Betty Friedan,3.88,"31,137","21,492"
The Vagina Monologues,V (formerly Eve Ensler),3.87,"38,502","19,121"
The Awakening,Kate Chopin,3.69,"2,28,603","18,794"
The Beauty Myth,Naomi Wolf,3.91,"31,171","16,685"
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.98,"4,94,594","15,605"
The Help,Kathryn Stockett,4.47,"30,35,776","15,566"
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,"99,83,654","15,232"
Speak,Laurie Halse Anderson,4.05,"6,33,810","13,844"
A Doll's House,Henrik Ibsen,3.77,"1,65,430","13,574"
Their Eyes Were Watching God,Zora Neale Hurston,3.99,"3,89,368","13,240"
Feminism Is for Everybody: Passionate Politics,bell hooks,4.16,"28,581","12,153"
A Vindication of the Rights of Woman,Mary Wollstonecraft,3.92,"27,151","11,415"
Gone with the Wind,Margaret Mitchell,4.31,"12,59,650","11,065"
The Red Tent,Anita Diamant,4.21,"6,33,836","11,047"
Orlando,Virginia Woolf,3.87,"1,16,549","10,293"
A Thousand Splendid Suns,Khaled Hosseini,4.46,"17,50,592","10,160"
"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,"34,63,714","10,130"
"Women, Race & Class",Angela Y. Davis,4.59,"34,918","9,720"
Emma,Jane Austen,4.05,"9,90,944","9,705"
Full Frontal Feminism,Jessica Valenti,3.86,"8,043","9,435"
"Antigone (Theban Plays, #3)",Sophocles,3.69,"1,78,338","9,294"
The Complete Persepolis,Marjane Satrapi,4.4,"2,07,015","9,281"
The Left Hand of Darkness,Ursula K. Le Guin,4.1,"2,23,773","9,232"
Gender Trouble: Feminism and the Subversion of Identity,Judith Butler,4.05,"19,737","8,923"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,"2,13,346","8,917"
Mary Edwards Walker: America's Only Female Medal of Honor Recipient,Ammar Habib,4.37,"7,957","8,865"
Sister Outsider: Essays and Speeches,Audre Lorde,4.53,"41,245","8,667"
How to Be a Woman,Caitlin Moran,3.71,"1,10,424","8,362"
Cunt: A Declaration of Independence,Inga Muscio,3.88,"10,656","8,361"
Women Who Run With the Wolves,Clarissa Pinkola Estés,4.1,"97,248","8,087"
Yes Means Yes!: Visions of Female Sexual Power and A World Without Rape,Jaclyn Friedman,4.2,"5,236","7,931"
"Little Women (Little Women, #1)",Louisa May Alcott,4.17,"24,77,547","7,918"
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,"3,28,120","7,829"
To the Lighthouse,Virginia Woolf,3.81,"2,16,689","7,704"
Memoirs of a Geisha,Arthur Golden,4.16,"21,16,964","7,498"
The Joy Luck Club,Amy Tan,3.97,"7,11,172","7,357"
Feminist Theory: From Margin to Center,bell hooks,4.45,"9,112","7,349"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,"16,23,308","7,161"
Backlash: The Undeclared War Against American Women,Susan Faludi,4.05,"9,341","7,049"
A Vindication of the Rights of Men & A Vindication of the Rights of Woman & An Historical and Moral View of the French Revolution,Mary Wollstonecraft,4.02,812,"7,006"
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.16,"6,26,523","6,916"
Bad Feminist,Roxane Gay,3.92,"1,19,181","6,881"
Kindred,Octavia E. Butler,4.31,"2,76,004","6,860"
Matilda,Roald Dahl,4.34,"11,17,688","6,724"
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,"1,37,112","6,720"
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,"9,90,305","6,691"
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,3.65,"1,95,792","6,643"
The Scarlet Letter,Nathaniel Hawthorne,3.44,"9,24,316","6,549"
This Bridge Called My Back: Writings by Radical Women of Color,Cherríe L. Moraga,4.52,"9,815","6,356"
Ain't I a Woman: Black Women and Feminism,bell hooks,4.5,"19,413","6,230"
The Female Eunuch,Germaine Greer,3.68,"7,487","6,192"
The V Girl: A Coming of Age Story,Mya Robarts,3.95,"16,934","5,829"
"Our Bodies, Ourselves for the New Century",Boston Women's Health Book Collective,4.37,"7,341","5,813"
Female Chauvinist Pigs: Women and the Rise of Raunch Culture,Ariel Levy,3.67,"10,213","5,711"
Lysistrata,Aristophanes,3.86,"53,802","5,536"
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.66,"1,40,893","5,463"
The Purity Myth: How America's Obsession with Virginity is Hurting Young Women,Jessica Valenti,4.08,"8,661","5,461"
"Herland (The Herland Trilogy, #2)",Charlotte Perkins Gilman,3.48,"26,378","5,437"
Anna Karenina,Leo Tolstoy,4.1,"9,38,555","5,368"
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,4.28,"55,723","5,211"
Wide Sargasso Sea,Jean Rhys,3.59,"1,07,855","5,169"
For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,Ntozake Shange,4.29,"34,698","5,123"
Mrs. Dalloway,Virginia Woolf,3.77,"3,59,922","5,120"
The Stepford Wives,Ira Levin,3.89,"56,479","5,054"
Ariel,Sylvia Plath,4.18,"90,145","5,019"
"Against Our Will: Men, Women and Rape",Susan Brownmiller,4.05,"4,128","4,917"
SCUM Manifesto,Valerie Solanas,3.79,"12,382","4,770"
Whipping Girl: A Transsexual Woman on Sexism and the Scapegoating of Femininity,Julia Serano,4.27,"9,079","4,711"
"He's a Stud, She's a Slut, and 49 Other Double Standards Every Woman Should Know",Jessica Valenti,3.89,"3,272","4,706"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.36,"41,90,426","4,705"
The Bluest Eye,Toni Morrison,4.13,"3,05,103","4,495"
The Women's Room,Marilyn French,3.99,"9,426","4,303"
Zami: A New Spelling of My Name,Audre Lorde,4.4,"24,068","4,299"
Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher,3.89,"26,610","4,231"
The House of Mirth,Edith Wharton,3.98,"1,06,494","4,162"
Like Water for Chocolate,Laura Esquivel,3.95,"3,96,890","4,116"
Tess of the D’Urbervilles,Thomas Hardy,3.84,"3,03,876","4,092"
Middlemarch,George Eliot,4.04,"1,80,324","4,037"
